Symbol,Signal_Accuracy,Consensus_Score,Argument_Quality,Perspective_Diversity,Response_Time,Success_Rate
SAR,"{'binary': 1.0, 'weighted': 0.005813928159966986, 'confidence': 0.7044999999999999, 'confidence_weighted': 0.7044999999999999, 'combined_weighted': 0.004095912388696742, 'actual_return': 0.005813928159966986, 'predicted_signal': True}",0.6,0.35333333333333344,1.6666666666666667,69.262445,1.0
BPYPO,"{'binary': 1.0, 'weighted': 0.02733332316080729, 'confidence': 0.7044999999999999, 'confidence_weighted': 0.7044999999999999, 'combined_weighted': 0.019256326166788733, 'actual_return': -0.02733332316080729, 'predicted_signal': False}",0.2,0.3933333333333334,1.6666666666666667,69.289632,1.0
AISP,"{'binary': 1.0, 'weighted': 0.0536277830291704, 'confidence': 0.6445, 'confidence_weighted': 0.6445, 'combined_weighted': 0.03456310616230032, 'actual_return': -0.0536277830291704, 'predicted_signal': False}",0.8666666666666667,0.3933333333333335,1.6666666666666667,75.655438,1.0
UHAL,"{'binary': 0.0, 'weighted': -0.016516503537941554, 'confidence': 0.7044999999999999, 'confidence_weighted': -0.7044999999999999, 'combined_weighted': -0.011635876742479824, 'actual_return': -0.016516503537941554, 'predicted_signal': True}",1.0,0.5666666666666668,1.6666666666666667,94.944066,1.0
FIVE,"{'binary': 1.0, 'weighted': 0.010101039755495329, 'confidence': 0.7044999999999999, 'confidence_weighted': 0.7044999999999999, 'combined_weighted': 0.007116182507746458, 'actual_return': 0.010101039755495329, 'predicted_signal': True}",1.0,0.5533333333333333,1.6666666666666667,118.510837,1.0
EOSE,"{'binary': 1.0, 'weighted': 0.18823524956884807, 'confidence': 0.6445, 'confidence_weighted': 0.6445, 'combined_weighted': 0.12131761834712258, 'actual_return': 0.18823524956884807, 'predicted_signal': True}",1.0,0.5666666666666668,1.6666666666666667,139.83911,1.0
DUOL,"{'binary': 1.0, 'weighted': 0.03150233284750022, 'confidence': 0.6645, 'confidence_weighted': 0.6645, 'combined_weighted': 0.020933300177163893, 'actual_return': 0.03150233284750022, 'predicted_signal': True}",1.0,0.5266666666666668,1.6666666666666667,153.889116,1.0
CDLR,"{'binary': 0.0, 'weighted': -0.01429809032915565, 'confidence': 0.6445, 'confidence_weighted': -0.6445, 'combined_weighted': -0.009215119217140817, 'actual_return': -0.01429809032915565, 'predicted_signal': True}",1.0,0.6266666666666666,1.6666666666666667,164.47244,1.0
TXO,"{'binary': 1.0, 'weighted': 0.029020642262138418, 'confidence': 0.6645, 'confidence_weighted': 0.6645, 'combined_weighted': 0.019284216783190977, 'actual_return': -0.029020642262138418, 'predicted_signal': False}",1.0,0.4066666666666668,1.6666666666666667,98.840071,1.0
BLMN,"{'binary': 1.0, 'weighted': 0.056234682529837494, 'confidence': 0.6445, 'confidence_weighted': 0.6445, 'combined_weighted': 0.03624325289048026, 'actual_return': 0.056234682529837494, 'predicted_signal': True}",1.0,0.5933333333333334,1.6666666666666667,190.115026,1.0
